"","ADM4_EN","ADM2_EN","ADM3_EN","X","ID","WEEK","CASE","DATE","geo"
"175","Brontokusuman","Kota Yogyakarta","Mergangsan",1373,27,39,0,"2015-09-28","Kota Yogyakarta-Mergangsan-Brontokusuman"
"176","Brontokusuman","Kota Yogyakarta","Mergangsan",1374,27,7,1,"2015-02-16","Kota Yogyakarta-Mergangsan-Brontokusuman"
"177","Brontokusuman","Kota Yogyakarta","Mergangsan",1375,27,45,0,"2015-11-09","Kota Yogyakarta-Mergangsan-Brontokusuman"
"178","Brontokusuman","Kota Yogyakarta","Mergangsan",1404,27,34,0,"2015-08-24","Kota Yogyakarta-Mergangsan-Brontokusuman"
"179","Brontokusuman","Kota Yogyakarta","Mergangsan",1362,27,25,0,"2015-06-22","Kota Yogyakarta-Mergangsan-Brontokusuman"
"180","Brontokusuman","Kota Yogyakarta","Mergangsan",1363,27,13,2,"2015-03-30","Kota Yogyakarta-Mergangsan-Brontokusuman"
"181","Brontokusuman","Kota Yogyakarta","Mergangsan",1393,27,2,0,"2015-01-12","Kota Yogyakarta-Mergangsan-Brontokusuman"
"182","Brontokusuman","Kota Yogyakarta","Mergangsan",1394,27,20,1,"2015-05-18","Kota Yogyakarta-Mergangsan-Brontokusuman"
"183","Brontokusuman","Kota Yogyakarta","Mergangsan",1395,27,37,0,"2015-09-14","Kota Yogyakarta-Mergangsan-Brontokusuman"
"184","Brontokusuman","Kota Yogyakarta","Mergangsan",1396,27,12,1,"2015-03-23","Kota Yogyakarta-Mergangsan-Brontokusuman"
"185","Brontokusuman","Kota Yogyakarta","Mergangsan",1383,27,15,3,"2015-04-13","Kota Yogyakarta-Mergangsan-Brontokusuman"
"186","Brontokusuman","Kota Yogyakarta","Mergangsan",1384,27,18,0,"2015-05-04","Kota Yogyakarta-Mergangsan-Brontokusuman"
"187","Brontokusuman","Kota Yogyakarta","Mergangsan",1385,27,9,0,"2015-03-02","Kota Yogyakarta-Mergangsan-Brontokusuman"
"188","Brontokusuman","Kota Yogyakarta","Mergangsan",1399,27,4,2,"2015-01-26","Kota Yogyakarta-Mergangsan-Brontokusuman"
"189","Brontokusuman","Kota Yogyakarta","Mergangsan",1400,27,30,0,"2015-07-27","Kota Yogyakarta-Mergangsan-Brontokusuman"
"190","Brontokusuman","Kota Yogyakarta","Mergangsan",1401,27,19,2,"2015-05-11","Kota Yogyakarta-Mergangsan-Brontokusuman"
"191","Brontokusuman","Kota Yogyakarta","Mergangsan",1402,27,5,1,"2015-02-02","Kota Yogyakarta-Mergangsan-Brontokusuman"
"192","Brontokusuman","Kota Yogyakarta","Mergangsan",1403,27,6,3,"2015-02-09","Kota Yogyakarta-Mergangsan-Brontokusuman"
"193","Brontokusuman","Kota Yogyakarta","Mergangsan",1361,27,16,2,"2015-04-20","Kota Yogyakarta-Mergangsan-Brontokusuman"
"194","Brontokusuman","Kota Yogyakarta","Mergangsan",1364,27,23,2,"2015-06-08","Kota Yogyakarta-Mergangsan-Brontokusuman"
"195","Brontokusuman","Kota Yogyakarta","Mergangsan",1365,27,14,0,"2015-04-06","Kota Yogyakarta-Mergangsan-Brontokusuman"
"196","Brontokusuman","Kota Yogyakarta","Mergangsan",1366,27,49,1,"2015-12-07","Kota Yogyakarta-Mergangsan-Brontokusuman"
"197","Brontokusuman","Kota Yogyakarta","Mergangsan",1367,27,52,0,"2015-12-28","Kota Yogyakarta-Mergangsan-Brontokusuman"
"198","Brontokusuman","Kota Yogyakarta","Mergangsan",1368,27,50,0,"2015-12-14","Kota Yogyakarta-Mergangsan-Brontokusuman"
"199","Brontokusuman","Kota Yogyakarta","Mergangsan",1397,27,3,0,"2015-01-19","Kota Yogyakarta-Mergangsan-Brontokusuman"
"200","Brontokusuman","Kota Yogyakarta","Mergangsan",1398,27,35,0,"2015-08-31","Kota Yogyakarta-Mergangsan-Brontokusuman"
"201","Brontokusuman","Kota Yogyakarta","Mergangsan",1356,27,31,1,"2015-08-03","Kota Yogyakarta-Mergangsan-Brontokusuman"
